id,name,official_url,government_level,state,ministry,department,organization,category,subcategories,relevance,data_domains,formats,access_method,api_available,historical_data,captcha,authentication_required,machine_readability,update_frequency,identifier_fields,discovered_from,verified_at,verification_status,http_status,final_url,page_title,verification_channel,platform,cppp_listed_url,notes
cen-igod,Integrated Government Online Directory (IGOD),https://igod.gov.in/,central,,Ministry of Electronics and Information Technology,,NIC,directory,organization_directory,CRITICAL,administrative; directory,HTML,PUBLIC_WEB_PAGE,False,False,False,False,C,unknown,igod_organization_id,Task directive §4; india.gov.in,2026-08-21,VERIFIED,200,https://igod.gov.in/,Integrated Government Online Directory : Home,http_head_get_sandbox,,,"Primary discovery backbone for this registry. Server-rendered HTML, paginated via ?page=N. URL patterns: /sg/{STATE}/{CAT}/organizations, /ug/categories, /organization/{id}."
cen-india-portal,National Portal of India,https://www.india.gov.in/,central,,,,NIC,directory,,HIGH,directory,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,,Task directive §4,2026-08-21,VERIFIED,200,https://www.india.gov.in/,Home | National Portal of India,http_head_get_sandbox,,,
cen-datagov,Open Government Data (OGD) Platform India,https://data.gov.in/,central,,Ministry of Electronics and Information Technology,,NIC,open_data,,CRITICAL,open_data; finance; infrastructure; administrative,CSV; JSON; XML; API,PUBLIC_API,True,unknown,unknown,unknown,A,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://www.data.gov.in/,Home | Open Government Data (OGD) Platform India,http_head_get_sandbox,,,Catalogue includes a Local Government Directory (LGD) catalogue. Dataset-level capability NOT yet inventoried — requires per-dataset assessment.
cen-ndap,National Data and Analytics Platform (NDAP),https://ndap.niti.gov.in/,central,,NITI Aayog,,,open_data,,HIGH,open_data; statistics,CSV; API,PUBLIC_DOWNLOAD,unknown,unknown,unknown,unknown,B,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://ndap.niti.gov.in/,National Data and Analytics Platform,http_head_get_sandbox,,,
cen-cppp,Central Public Procurement Portal (CPPP),https://eprocure.gov.in/cppp/,central,,Ministry of Finance,Department of Expenditure,,procurement,tender_publication; tender_results; debarment,CRITICAL,procurement; contractor,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,tender_id; tender_reference_number; organisation_code,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://eprocure.gov.in/cppp/,Central Public Procurement Portal | Home en | GeM-CPPP | Tenders Portal of Government of India | Government eTenders,http_head_get_sandbox,,,Hosts the official State/UT e-procurement link list at /mmp/sites/default/files/eproc/States_eProc_relatedlinks.pdf (parsed for this registry; found to contain stale entries).
cen-epublish,Central Public Procurement ePublishing System,https://eprocure.gov.in/epublish/app,central,,Ministry of Finance,,,procurement,,CRITICAL,procurement,HTML,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,,CPPP States_eProc_relatedlinks.pdf; verified 2026-08-21,2026-08-21,VERIFIED,200,https://eprocure.gov.in/epublish/app,"ePublishing System, Government of India",http_head_get_sandbox,,,
cen-gem,Government e Marketplace (GeM),https://gem.gov.in/,central,,Ministry of Commerce and Industry,,,procurement,,HIGH,procurement; contractor,HTML,PARTIAL_PUBLIC_ACCESS,unknown,unknown,unknown,partial,F,unknown,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://gem.gov.in/,Government e Marketplace | National Public Procurement Portal,http_head_get_sandbox,,,
cen-etenders,Government eProcurement System (etenders.gov.in / GePNIC central instance),https://etenders.gov.in/eprocure/app,central,,,,NIC,procurement,,HIGH,procurement,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,tender_id; nit_number,eprocure.gov.in; verified 2026-08-21,2026-08-21,VERIFIED,200,https://etenders.gov.in/eprocure/app,Government eProcurement System,http_head_get_sandbox,,,
cen-pmgsytenders,eProcurement System for PMGSY,https://pmgsytenders.gov.in,central,,Ministry of Rural Development,,NRIDA,procurement,roads; rural_roads,CRITICAL,procurement; roads,HTML; PDF,PUBLIC_WEB_PAGE,unknown,unknown,unknown,unknown,C,unknown,tender_id; nit_number,WebSearch (gov.in-restricted) 2026-08-21; verified,2026-08-21,VERIFIED,200,https://pmgsytenders.gov.in/nicgep/app,eProcurement System for Pradhan Mantri Gram Sadak Yojana (PMGSY),http_head_get_sandbox,,,
cen-indiabudget,India Budget Portal (Union Budget),https://www.indiabudget.gov.in/,central,,Ministry of Finance,,,budget,,CRITICAL,budget; finance,PDF; XLS; HTML,PUBLIC_DOCUMENT,unknown,yes,unknown,unknown,D,annual,demand_number; budget_head; financial_year,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://www.indiabudget.gov.in/,India Budget | Ministry of Finance | Government of India,http_head_get_sandbox,,,
cen-cga,Controller General of Accounts (CGA),https://cga.nic.in/,central,,Ministry of Finance,,,finance,,CRITICAL,finance; expenditure,PDF; HTML,PUBLIC_DOCUMENT,unknown,unknown,unknown,unknown,D,monthly,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://cga.nic.in/,Home : CONTROLLER GENERAL OF ACCOUNTS,http_head_get_sandbox,,,
cen-pfms,Public Financial Management System (PFMS),https://pfms.nic.in/SitePages/index.html,central,,Ministry of Finance,Department of Expenditure,CGA,finance,fund_flow; releases; expenditure,CRITICAL,finance; releases; expenditure; schemes,HTML; PDF,PARTIAL_PUBLIC_ACCESS,unknown,unknown,unknown,partial,F,unknown,scheme_code; agency_code,docs/18 + WebSearch; verified 2026-08-21,2026-08-21,VERIFIED,200,https://pfms.nic.in/SitePages/index.html,Home,http_head_get_sandbox,,,Integrates with LGD and eGramSwaraj via unique codes — a key entity-linking backbone (see entity-linking.md).
cen-cag,Comptroller and Auditor General of India (CAG),https://cag.gov.in/,central,,,,,audit,,CRITICAL,audit,PDF; HTML,PUBLIC_DOCUMENT,unknown,yes,unknown,unknown,D,irregular,,docs/18; verified 2026-08-21,2026-08-21,VERIFIED,200,https://cag.gov.in/en,Home | Comptroller and Auditor General of India,http_head_get_sandbox,,,
